"Date","Samsung","Apple","Xiaomi","Huawei","Oppo","Vivo","Unknown","Motorola","Realme","LG","OnePlus","Mobicel","Tecno","Nokia","Google","Lenovo","Infinix","Sony","Asus","HTC","BBK","General Mobile","Itel","Alcatel","ZTE","Lava","Vestel","Hisense","Casper","Micromax","Infinex","Gionee","Wiko","Honor","Meizu","QMobile","Vodafone","Coolpad","Turkcell","bq","Sharp","T-Mobile","LeEco","Condor","Kyocera","Panasonic","Sumsung","RIM","CAT","Reeder","Lyf","Neffos","Mobiistar","Unimax","Smartisan","Other"
2020-08,31.04,25.15,8.9,10.73,4.69,0.1,1.81,2.39,1.18,1.96,0.75,3.38,0.54,0.74,0.63,0.72,0.45,0.73,0.7,0.32,0.27,0.38,0.16,0.23,0.2,0.1,0.17,0.25,0.15,0.1,0.02,0.07,0.07,0.06,0.06,0.04,0.05,0.04,0.08,0.04,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0,0.02,0.02,0.01,0,0.02,0.32
2020-09,30.57,24.98,9.49,10.58,4.94,0.1,1.67,2.27,1.45,1.88,0.81,3.5,0.6,0.74,0.63,0.67,0.55,0.69,0.67,0.29,0.26,0.33,0.18,0.21,0.19,0.1,0.16,0.23,0.14,0.09,0.02,0.07,0.07,0.06,0.06,0.05,0.05,0.03,0.05,0.04,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0,0.02,0.29
2020-10,30.25,26.53,9.67,10.44,4.83,0.1,1.84,2.21,1.55,1.79,0.85,2.54,0.59,0.69,0.63,0.65,0.55,0.67,0.64,0.28,0.24,0.31,0.17,0.2,0.18,0.09,0.15,0.19,0.13,0.08,0.02,0.06,0.06,0.06,0.05,0.05,0.05,0.03,0.04,0.04,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0,0.01,0.25
2020-11,30.36,28.19,9.6,10.43,4.8,0.13,2.78,2.2,1.65,1.81,0.83,0,0.62,0.69,0.7,0.62,0.59,0.67,0.62,0.27,0.2,0.26,0.18,0.2,0.18,0.08,0.12,0.15,0.11,0.08,0.02,0.06,0.06,0.04,0.05,0.05,0.04,0.03,0.04,0.04,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0,0.01,0.24
2020-12,29.14,26.91,10.02,9.83,5.02,3.7,1.69,2.09,2.07,1.71,0.84,0.01,0.73,0.66,0.66,0.62,0.63,0.61,0.58,0.24,0.2,0.2,0.21,0.17,0.16,0.1,0.09,0.07,0.08,0.08,0.05,0.06,0.06,0.04,0.04,0.05,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.22
2021-01,28.97,27.47,10.04,9.72,5.03,3.74,1.61,2.13,2.11,1.69,0.83,0.01,0.67,0.63,0.66,0.6,0.58,0.6,0.57,0.23,0.19,0.19,0.19,0.16,0.16,0.1,0.08,0.04,0.08,0.08,0.06,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21
2021-02,28.52,27.33,10.27,9.62,5.07,3.84,1.82,2.17,2.23,1.67,0.83,0.01,0.7,0.64,0.66,0.61,0.6,0.59,0.56,0.22,0.2,0.16,0.19,0.16,0.16,0.1,0.07,0.04,0.07,0.08,0.07,0.06,0.05,0.04,0.04,0.04,0.03,0.03,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2
2021-03,28.35,27.41,10.31,9.27,5.29,3.95,1.94,2.16,2.32,1.63,0.83,0.01,0.7,0.64,0.66,0.59,0.61,0.59,0.57,0.23,0.19,0.13,0.19,0.15,0.15,0.11,0.06,0.03,0.05,0.08,0.08,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.01,0.02,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.18
2021-04,28.15,27,10.43,9.19,5.31,3.99,2.45,2.19,2.34,1.6,0.85,0.01,0.73,0.64,0.68,0.62,0.61,0.55,0.55,0.21,0.19,0.12,0.2,0.14,0.14,0.11,0.05,0.03,0.05,0.08,0.09,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.01,0.02,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.18
2021-05,27.84,26.46,10.63,8.84,5.39,4.12,3.2,2.18,2.41,1.58,0.87,0.01,0.77,0.64,0.67,0.6,0.62,0.53,0.53,0.2,0.19,0.14,0.21,0.13,0.14,0.11,0.06,0.03,0.06,0.07,0.1,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.01,0.02,0.02,0.03,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.17
2021-06,27.48,26.35,10.8,8.66,5.67,4.32,3.12,2.23,2.62,1.55,0.89,0.01,0.74,0.64,0.66,0.57,0.63,0.5,0.52,0.2,0.19,0.13,0.2,0.13,0.14,0.11,0.06,0.02,0.05,0.07,0.11,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.01,0.01,0.02,0.03,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.16
2021-07,27.33,26.92,10.94,8.19,5.54,4.34,3.21,2.27,2.66,1.55,0.88,0.01,0.74,0.63,0.67,0.56,0.6,0.48,0.5,0.19,0.18,0.12,0.2,0.12,0.13,0.1,0.05,0.02,0.05,0.07,0.11,0.05,0.03,0.04,0.03,0.03,0.02,0.03,0.01,0.01,0.02,0.04,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.15
2021-08,27.92,26.42,11.38,7.91,5.61,4.58,2.27,2.25,2.83,1.52,0.96,0.01,0.86,0.6,0.68,0.54,0.82,0.46,0.47,0.17,0.16,0.11,0.26,0.11,0.13,0.09,0.05,0.02,0.05,0.05,0.11,0.05,0.03,0.04,0.03,0.03,0.03,0.02,0.01,0.01,0.02,0.04,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.01,0.14
